id,start_time,origin,destination,kind,origin_real_id,dest_real_id,origin_x,origin_y,dest_x,dest_y,vec_x,vec_y,cluster
37,82,0,2,Human,315358244,32978638#0,212975.4675,453432.9725,213633.66,451984.92,658.1925000000047,-1448.0524999999907,0
38,83,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
39,86,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
40,88,0,3,Human,315358244,386687235,212975.4675,453432.9725,213478.36,452435.42,502.8924999999872,-997.5524999999907,0
41,89,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
42,91,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
43,92,11,2,Human,128361109#1,32978638#0,211442.47,452097.55,213633.66,451984.92,2191.1900000000023,-112.63000000000466,4
44,93,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
45,94,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
46,96,11,13,Human,128361109#1,40888354#0,211442.47,452097.55,213168.415,452820.44,1725.945000000007,722.890000000014,4
47,101,15,1,Human,-10427692#1,-128361102#1,211769.91,451851.51,211388.46,451952.25,-381.45000000001164,100.73999999999069,4
48,101,4,4,Human,-306240162#1,399835085#1,211638.505,452888.985,212001.44,453157.175,362.9349999999977,268.1900000000023,5
49,105,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
50,106,16,5,Human,-32978638#0,-266565295#5,213640.75,451987.935,213811.85,452244.51,171.10000000000582,256.57500000001164,4
51,109,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
52,112,0,12,Human,315358244,447569997#1,212975.4675,453432.9725,213435.6,452999.15,460.132500000007,-433.8224999999511,5
53,119,17,5,Human,-18809673#6,-266565295#5,211318.32,451074.855,213811.85,452244.51,2493.529999999999,1169.655000000028,11
54,125,7,10,Human,272042143,306240162#0,213484.675,452457.545,211642.94,452890.83,-1841.734999999986,433.2850000000326,4
55,127,18,2,Human,201950247#3,32978638#0,213070.49,452706.715,213633.66,451984.92,563.1700000000128,-721.7950000000419,5
56,128,7,4,Human,272042143,399835085#1,213484.675,452457.545,212001.44,453157.175,-1483.234999999986,699.6300000000047,4
57,129,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,-1703.1750000000175,648.6749999999884,8
58,131,7,10,Human,272042143,306240162#0,213484.675,452457.545,211642.94,452890.83,-1841.734999999986,433.2850000000326,4
59,132,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,-1703.1750000000175,648.6749999999884,8
60,133,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
61,134,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,-1703.1750000000175,648.6749999999884,8
62,135,16,5,Human,-32978638#0,-266565295#5,213640.75,451987.935,213811.85,452244.51,171.10000000000582,256.57500000001164,4
63,136,7,10,Human,272042143,306240162#0,213484.675,452457.545,211642.94,452890.83,-1841.734999999986,433.2850000000326,4
64,136,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,-1703.1750000000175,648.6749999999884,8
65,139,7,9,Human,272042143,201238729#3,213484.675,452457.545,211438.31,452110.43,-2046.3649999999907,-347.1149999999907,4
66,140,19,12,Human,-26677542#0,447569997#1,212861.46,453069.875,213435.6,452999.15,574.140000000014,-70.72499999997672,5
67,141,20,3,Human,26677213#0,386687235,212783.0,452608.015,213478.36,452435.42,695.359999999986,-172.59500000003027,5
68,141,7,4,Human,272042143,399835085#1,213484.675,452457.545,212001.44,453157.175,-1483.234999999986,699.6300000000047,4
69,142,8,9,Human,266565295#5,201238729#3,213807.23,452252.93,211438.31,452110.43,-2368.920000000013,-142.5,4
70,149,13,14,Human,-447569998#1,315358242#0,213434.54,453008.69,213322.49,452739.76,-112.05000000001746,-268.929999999993,4
71,149,8,9,Human,266565295#5,201238729#3,213807.23,452252.93,211438.31,452110.43,-2368.920000000013,-142.5,4
72,150,8,15,Human,266565295#5,-24634506#2,213807.23,452252.93,212923.875,452069.915,-883.3550000000105,-183.01500000001397,4
73,152,4,16,Human,-306240162#1,30482615#1,211638.505,452888.985,212028.14,450765.2,389.6350000000093,-2123.7849999999744,5
74,154,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
75,154,13,4,Human,-447569998#1,399835085#1,213434.54,453008.69,212001.44,453157.175,-1433.1000000000058,148.48499999998603,4
76,155,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
77,158,21,17,Human,24599188#0.94,-10427692#3,213342.76,451641.085,211783.375,451881.39,-1559.3850000000093,240.30499999999302,4
78,160,22,9,Human,176550249#3,201238729#3,212398.57,452249.84,211438.31,452110.43,-960.2600000000093,-139.4100000000326,4
79,160,4,18,Human,-306240162#1,24634510#6,211638.505,452888.985,212342.785,452084.485,704.2799999999988,-804.5,5
80,164,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
81,166,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
82,167,23,2,Human,-24634413#2,32978638#0,213167.66,452053.11,213633.66,451984.92,466.0,-68.19000000000233,4
83,169,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
84,171,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
85,172,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
86,176,11,4,Human,128361109#1,399835085#1,211442.47,452097.55,212001.44,453157.175,558.9700000000012,1059.625,4
87,178,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
88,179,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
89,181,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
90,181,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
91,181,0,2,Human,315358244,32978638#0,212975.4675,453432.9725,213633.66,451984.92,658.1925000000047,-1448.0524999999907,0
92,183,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
93,186,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
94,188,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
95,189,24,19,Human,-160314345#5,-24634505,213480.015,452304.825,212865.605,452150.26,-614.4100000000035,-154.56500000000233,4
96,189,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
97,191,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
98,192,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
99,194,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,-1703.1750000000175,648.6749999999884,8
100,195,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
101,197,25,10,Human,24634517#1,306240162#0,212025.5,451709.68000000005,211642.94,452890.83,-382.5599999999977,1181.149999999965,8
102,199,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
103,201,0,3,Human,315358244,386687235,212975.4675,453432.9725,213478.36,452435.42,502.8924999999872,-997.5524999999907,0
104,203,0,12,Human,315358244,447569997#1,212975.4675,453432.9725,213435.6,452999.15,460.132500000007,-433.8224999999511,5
105,204,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
106,204,17,3,Human,-18809673#6,386687235,211318.32,451074.855,213478.36,452435.42,2160.039999999979,1360.5650000000023,11
107,212,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
108,213,4,20,Human,-306240162#1,272042145,211638.505,452888.985,213478.39,452442.76,1839.8850000000093,-446.2249999999767,5
109,220,1,10,Human,10425609#0,306240162#0,213091.635,451303.575,211642.94,452890.83,-1448.695000000007,1587.2550000000047,8
110,221,4,20,Human,-306240162#1,272042145,211638.505,452888.985,213478.39,452442.76,1839.8850000000093,-446.2249999999767,5
111,221,26,3,Human,201238726#0.117,386687235,211898.18,452192.0825,213478.36,452435.42,1580.179999999993,243.33749999996508,4
112,223,7,9,Human,272042143,201238729#3,213484.675,452457.545,211438.31,452110.43,-2046.3649999999907,-347.1149999999907,4
113,225,7,4,Human,272042143,399835085#1,213484.675,452457.545,212001.44,453157.175,-1483.234999999986,699.6300000000047,4
114,226,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
115,226,7,10,Human,272042143,306240162#0,213484.675,452457.545,211642.94,452890.83,-1841.734999999986,433.2850000000326,4
116,228,7,9,Human,272042143,201238729#3,213484.675,452457.545,211438.31,452110.43,-2046.3649999999907,-347.1149999999907,4
117,229,17,3,Human,-18809673#6,386687235,211318.32,451074.855,213478.36,452435.42,2160.039999999979,1360.5650000000023,11
118,230,7,4,Human,272042143,399835085#1,213484.675,452457.545,212001.44,453157.175,-1483.234999999986,699.6300000000047,4
119,231,7,10,Human,272042143,306240162#0,213484.675,452457.545,211642.94,452890.83,-1841.734999999986,433.2850000000326,4
120,233,7,4,Human,272042143,399835085#1,213484.675,452457.545,212001.44,453157.175,-1483.234999999986,699.6300000000047,4
121,233,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
122,234,7,10,Human,272042143,306240162#0,213484.675,452457.545,211642.94,452890.83,-1841.734999999986,433.2850000000326,4
123,235,0,21,Human,315358244,-201238724,212975.4675,453432.9725,212836.39,452204.11,-139.07749999998487,-1228.8624999999884,0
124,236,7,10,Human,272042143,306240162#0,213484.675,452457.545,211642.94,452890.83,-1841.734999999986,433.2850000000326,4
125,238,7,9,Human,272042143,201238729#3,213484.675,452457.545,211438.31,452110.43,-2046.3649999999907,-347.1149999999907,4
126,238,8,21,Human,266565295#5,-201238724,213807.23,452252.93,212836.39,452204.11,-970.8399999999965,-48.820000000006985,4
127,240,27,2,Human,28319300#3,32978638#0,212238.04,452544.145,213633.66,451984.92,1395.6199999999953,-559.2250000000349,5
128,245,16,10,Human,-32978638#0,306240162#0,213640.75,451987.935,211642.94,452890.83,-1997.8099999999977,902.8950000000186,4
129,245,4,20,Human,-306240162#1,272042145,211638.505,452888.985,213478.39,452442.76,1839.8850000000093,-446.2249999999767,5
130,245,17,22,Human,-18809673#6,-83304175#2,211318.32,451074.855,213340.28,451635.835,2021.9599999999919,560.9800000000396,4
131,246,16,10,Human,-32978638#0,306240162#0,213640.75,451987.935,211642.94,452890.83,-1997.8099999999977,902.8950000000186,4
132,248,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
133,248,16,9,Human,-32978638#0,201238729#3,213640.75,451987.935,211438.31,452110.43,-2202.4400000000023,122.49499999999534,4
134,249,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
135,258,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
136,260,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
137,261,28,9,Human,-399835085#0,201238729#3,212144.335,453005.3,211438.31,452110.43,-706.0249999999942,-894.8699999999953,5
138,262,0,23,Human,315358244,26677541,212975.4675,453432.9725,213017.6,453046.28,42.132500000006985,-386.69249999994645,0
139,264,29,3,Human,-160314345#2,386687235,213207.6,452277.045,213478.36,452435.42,270.7599999999802,158.375,4
140,265,4,24,Human,-306240162#1,201238718#0,211638.505,452888.985,212879.05,452356.22,1240.5449999999837,-532.765000000014,5
141,267,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
142,267,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
143,268,30,25,Human,168702040#1,-25145014#0,213570.04,452107.55,212666.33,451610.59,-903.710000000021,-496.95999999996275,4
144,269,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
145,269,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
146,271,11,26,Human,128361109#1,24634509#1,211442.47,452097.55,212852.71,452044.03,1410.2399999999907,-53.51999999996042,4
147,272,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
148,280,4,16,Human,-306240162#1,30482615#1,211638.505,452888.985,212028.14,450765.2,389.6350000000093,-2123.7849999999744,5
149,281,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,-1703.1750000000175,648.6749999999884,8
150,283,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
151,285,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
152,286,16,12,Human,-32978638#0,447569997#1,213640.75,451987.935,213435.6,452999.15,-205.14999999999418,1011.2150000000256,4
153,288,16,27,Human,-32978638#0,-315358242#1,213640.75,451987.935,213331.87,452741.83,-308.88000000000466,753.8950000000186,4
154,289,11,28,Human,128361109#1,-315358242#0,211442.47,452097.55,213281.13,452900.43,1838.6600000000035,802.8800000000047,4
155,289,16,9,Human,-32978638#0,201238729#3,213640.75,451987.935,211438.31,452110.43,-2202.4400000000023,122.49499999999534,4
156,292,8,9,Human,266565295#5,201238729#3,213807.23,452252.93,211438.31,452110.43,-2368.920000000013,-142.5,4
157,292,4,29,Human,-306240162#1,402600768#1,211638.505,452888.985,213484.76,452070.75,1846.2550000000047,-818.234999999986,5
158,293,31,2,Human,24634416,32978638#0,213252.9,452163.915,213633.66,451984.92,380.7600000000093,-178.99499999999534,4
159,293,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
160,295,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
161,296,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
162,298,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
163,299,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
164,301,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
165,305,16,30,Human,-32978638#0,28319300#3,213640.75,451987.935,212239.235,452458.24,-1401.515000000014,470.304999999993,4
166,305,17,5,Human,-18809673#6,-266565295#5,211318.32,451074.855,213811.85,452244.51,2493.529999999999,1169.655000000028,11
167,306,32,9,Human,-24634509#7,201238729#3,212847.145,452042.39,211438.31,452110.43,-1408.8349999999919,68.03999999997905,4
168,307,33,9,Human,-137454133#5,201238729#3,212153.36,452323.795,211438.31,452110.43,-715.0499999999884,-213.3649999999907,10
169,308,4,31,Human,-306240162#1,-201963533#4,211638.505,452888.985,212028.91,451703.04,390.40499999999884,-1185.945000000007,5
170,315,0,3,Human,315358244,386687235,212975.4675,453432.9725,213478.36,452435.42,502.8924999999872,-997.5524999999907,0
171,317,0,3,Human,315358244,386687235,212975.4675,453432.9725,213478.36,452435.42,502.8924999999872,-997.5524999999907,0
172,320,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
173,320,0,3,Human,315358244,386687235,212975.4675,453432.9725,213478.36,452435.42,502.8924999999872,-997.5524999999907,0
174,323,8,32,Human,266565295#5,24608845,213807.23,452252.93,212875.45,452147.735,-931.7799999999988,-105.19500000000698,4
175,323,4,33,Human,-306240162#1,-25190140#1,211638.505,452888.985,212561.26,451214.905,922.7550000000047,-1674.079999999958,5
176,324,0,16,Human,315358244,30482615#1,212975.4675,453432.9725,212028.14,450765.2,-947.3274999999849,-2667.7724999999627,0
177,324,4,34,Human,-306240162#1,137454133#2,211638.505,452888.985,212147.62,452322.965,509.1149999999907,-566.0199999999604,5
178,326,8,9,Human,266565295#5,201238729#3,213807.23,452252.93,211438.31,452110.43,-2368.920000000013,-142.5,4
179,329,34,10,Human,-315358257#0.26,306240162#0,212259.43,452900.09,211642.94,452890.83,-616.4899999999907,-9.260000000009313,5
180,329,8,9,Human,266565295#5,201238729#3,213807.23,452252.93,211438.31,452110.43,-2368.920000000013,-142.5,4
181,330,8,9,Human,266565295#5,201238729#3,213807.23,452252.93,211438.31,452110.43,-2368.920000000013,-142.5,4
182,331,16,10,Human,-32978638#0,306240162#0,213640.75,451987.935,211642.94,452890.83,-1997.8099999999977,902.8950000000186,4
183,332,17,3,Human,-18809673#6,386687235,211318.32,451074.855,213478.36,452435.42,2160.039999999979,1360.5650000000023,11
184,335,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
185,335,16,12,Human,-32978638#0,447569997#1,213640.75,451987.935,213435.6,452999.15,-205.14999999999418,1011.2150000000256,4
186,335,21,35,Human,24599188#0.94,201201950#1,213342.76,451641.085,213032.07,452458.87,-310.6900000000023,817.7849999999744,8
187,336,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
188,337,16,9,Human,-32978638#0,201238729#3,213640.75,451987.935,211438.31,452110.43,-2202.4400000000023,122.49499999999534,4
189,338,16,10,Human,-32978638#0,306240162#0,213640.75,451987.935,211642.94,452890.83,-1997.8099999999977,902.8950000000186,4
190,339,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,-1703.1750000000175,648.6749999999884,8
191,340,17,36,Human,-18809673#6,40888354#1,211318.32,451074.855,213173.475,452766.685,1855.1549999999988,1691.8300000000163,11
192,340,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
193,342,11,4,Human,128361109#1,399835085#1,211442.47,452097.55,212001.44,453157.175,558.9700000000012,1059.625,4
194,343,1,10,Human,10425609#0,306240162#0,213091.635,451303.575,211642.94,452890.83,-1448.695000000007,1587.2550000000047,8
195,346,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,-1703.1750000000175,648.6749999999884,8
196,347,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
197,347,0,2,Human,315358244,32978638#0,212975.4675,453432.9725,213633.66,451984.92,658.1925000000047,-1448.0524999999907,0
198,348,13,37,Human,-447569998#1,40888356#0,213434.54,453008.69,212383.985,452326.845,-1050.5550000000221,-681.8450000000303,4
199,351,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
200,351,4,3,Human,-306240162#1,386687235,211638.505,452888.985,213478.36,452435.42,1839.8549999999814,-453.5650000000023,5
201,353,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
202,354,4,20,Human,-306240162#1,272042145,211638.505,452888.985,213478.39,452442.76,1839.8850000000093,-446.2249999999767,5
203,355,0,2,Human,315358244,32978638#0,212975.4675,453432.9725,213633.66,451984.92,658.1925000000047,-1448.0524999999907,0
204,356,4,20,Human,-306240162#1,272042145,211638.505,452888.985,213478.39,452442.76,1839.8850000000093,-446.2249999999767,5
205,357,4,20,Human,-306240162#1,272042145,211638.505,452888.985,213478.39,452442.76,1839.8850000000093,-446.2249999999767,5
206,359,4,20,Human,-306240162#1,272042145,211638.505,452888.985,213478.39,452442.76,1839.8850000000093,-446.2249999999767,5
207,362,4,38,Human,-306240162#1,138300620#0,211638.505,452888.985,212419.415,452110.7,780.9100000000035,-778.2849999999744,5
208,366,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
209,368,4,20,Human,-306240162#1,272042145,211638.505,452888.985,213478.39,452442.76,1839.8850000000093,-446.2249999999767,5
210,370,35,3,Human,-26677216#0,386687235,212982.09,452766.76,213478.36,452435.42,496.2699999999895,-331.3400000000256,5
211,374,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
212,375,36,20,Human,286646456#1,272042145,211979.335,452780.735,213478.39,452442.76,1499.0550000000221,-337.9749999999767,5
213,376,0,39,Human,315358244,-201238718#0,212975.4675,453432.9725,212979.68,452196.755,4.212499999994179,-1236.2174999999697,0
214,377,16,10,Human,-32978638#0,306240162#0,213640.75,451987.935,211642.94,452890.83,-1997.8099999999977,902.8950000000186,4
215,378,1,10,Human,10425609#0,306240162#0,213091.635,451303.575,211642.94,452890.83,-1448.695000000007,1587.2550000000047,8
216,379,11,2,Human,128361109#1,32978638#0,211442.47,452097.55,213633.66,451984.92,2191.1900000000023,-112.63000000000466,4
217,380,11,40,Human,128361109#1,-22724699#1,211442.47,452097.55,212624.945,452617.335,1182.4750000000058,519.7850000000326,4
218,381,8,9,Human,266565295#5,201238729#3,213807.23,452252.93,211438.31,452110.43,-2368.920000000013,-142.5,4
219,382,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
220,382,1,1,Human,10425609#0,-128361102#1,213091.635,451303.575,211388.46,451952.25,-1703.1750000000175,648.6749999999884,8
221,383,37,41,Human,201201935#0,-32395288#1,211141.53,451674.18,211731.37,451271.77,589.8399999999965,-402.4099999999744,4
222,383,8,9,Human,266565295#5,201238729#3,213807.23,452252.93,211438.31,452110.43,-2368.920000000013,-142.5,4
223,384,11,3,Human,128361109#1,386687235,211442.47,452097.55,213478.36,452435.42,2035.8899999999849,337.86999999999534,4
